codigo_dato,descripcion_dato,detalle_dato
110000000007,Bancos Sucursales de Entidades Financieras del Exter,"Cantidad de bancos que operan como sucursales (no como subsidiarias) de entidades del exterior (p.ej. CITI, JP MORGAN, BANK OF AMERICA, PARIBAS). Suelen ser pocos y orientados a banca corporativa/wholesale. Cambios reflejan decisiones estratégicas de las casas matrices."
110000000008,Compañías Financieras,"Cantidad total de compañías financieras autorizadas. Las CF no captan depósitos a la vista pero pueden tomar plazos fijos y otorgar crédito. Suelen estar especializadas en consumo. Una baja indica salidas por consolidación o conversión a otra figura (p.ej. caja); una suba, nuevos jugadores nicho."
110000000009,Compañías Financieras de Capital Nacional,Cantidad de compañías financieras cuyo accionista controlante es residente argentino. Es el subgrupo más grande dentro de las CF. Variaciones reflejan altas y bajas puntuales del segmento.
110000000010,Compañías Financieras de Capital Extranjero,Cantidad de compañías financieras controladas por no residentes. Es un segmento históricamente pequeño. Cambios suelen reflejar decisiones de grupos extranjeros sobre presencia minorista en el país.
110000000011,Cajas de Crédito,"Cantidad de cajas de crédito cooperativas autorizadas. Son entidades pequeñas con base local/regional, orientadas a PyMEs y consumo de proximidad. Cambios reflejan principalmente fusiones u operaciones puntuales del segmento cooperativo."
310000000033,Cantidad de cuentas corrientes,"Stock de cuentas corrientes abiertas en la entidad al cierre del período (información adicional). Es un proxy de la base transaccional empresarial. Una suba indica más clientes empresariales o más cuentas operativas activas; una baja, depuración de inactivas o pérdida de clientes. Útil cruzado con depósitos en cuenta corriente para ver el ticket promedio."
310000000043,Cantidad de cuentas de ahorro,"Stock de cajas de ahorro abiertas al cierre del período. Es la principal cuenta minorista en Argentina (una por individuo bancarizado). Una suba indica bancarización creciente o mayor adquisición de clientes; una baja, depuración de inactivas. La penetración de la billetera digital y las cuentas gratuitas la hicieron crecer fuerte desde 2020."
310000000044,Cantidad de cajas de ahorro de ayuda social,"Stock de cajas de ahorro asociadas a beneficiarios de programas sociales (AUH, jubilaciones mínimas, planes). Refleja la magnitud del flujo asistencial bancarizado en la entidad. Variaciones reflejan altas/bajas de beneficiarios o cambios de banco pagador del beneficio."
310000000045,Cantidad de cuentas previsionales,"Stock de cuentas vinculadas al cobro de jubilaciones y pensiones (ANSES). Es un proxy del segmento jubilatorio bancarizado en la entidad. Bancos públicos (NACION, BAPRO) suelen concentrar la mayoría. Variaciones reflejan migraciones entre bancos pagadores o altas/bajas del padrón."
310000000051,Cantidad de operaciones a plazo fijo Individuos,"Cantidad de plazos fijos de personas humanas vigentes al cierre. Es un proxy del ahorro a plazo del segmento minorista. Una suba en moneda nominal puede reflejar tanto más cantidad como múltiples plazos por cliente; conviene leerlo junto con el stock en pesos. Caídas suelen anticipar migración a otros activos (dólar, FCI, inversiones)."
310000000052,Cantidad de operaciones a plazo fijo Empresas,"Cantidad de plazos fijos de personas jurídicas vigentes al cierre. Refleja la colocación de excedentes corporativos. Subas indican más empresas dejando excedentes en plazo; bajas, migración a colocaciones de mejor rendimiento o uso del cash en operaciones."
310000000061,Cantidad de operaciones por préstamos Individuos,Número de operaciones de crédito vigentes a personas humanas registradas por la entidad al cierre del período (stock por operación). No representa desembolsos del mes. Indica profundidad y atomización de la cartera de individuos.
310000000062,Cantidad de operaciones por préstamos Empresas,Número de operaciones de crédito vigentes a personas jurídicas registradas por la entidad al cierre del período (stock por operación). Útil para dimensionar la base corporativa atendida y la diversificación del portafolio.
310000000063,Cantidad de operaciones por préstamos hipotecarios,"Número de operaciones de crédito hipotecario vigentes al cierre del período, cualquiera sea su situación (vigentes o en mora). Refleja el tamaño y la atomización del portafolio hipotecario."
310000000064,Cantidad de operaciones por préstamos prendarios,"Número de operaciones de crédito prendario vigentes al cierre del período (p. ej., financiación de automotores u otros bienes registrables). Es un stock de operaciones."
310000000065,Cantidad de operaciones por otros préstamos,"Número de operaciones vigentes del resto de líneas no hipotecarias ni prendarias al cierre del período (p. ej., personales y comerciales sin garantía real; la composición puede variar según normativa)."
310000000070,Dotación de personal,"Dotación de personal: total de empleados de la entidad al cierre del período (mes/trimestre) según “Información Adicional” del BCRA. Mide escala operativa y permite construir ratios por empleado (p. ej., cuentas/empleado). Es un stock, no un flujo."
312100000011,Cantidad de titulares por tarjetas de crédito,"Cantidad de personas (titulares) con al menos una tarjeta de crédito emitida por la entidad. Diferente del conteo de plásticos: un titular puede tener varias tarjetas (adicionales, marca compartida, etc.). Una suba indica expansión real de clientes con crédito al consumo; una baja, depuración de tarjetas inactivas o cierre de cuentas."
312100000012,Cantidad de tarjetas de crédito (plásticos),"Cantidad de plásticos de crédito emitidos (titulares + adicionales) que están vigentes. Suele ser mayor que el número de titulares por las adicionales. Una suba indica expansión del crédito al consumo o emisión de tarjetas premium con cobranding; una baja, depuración por inactividad o discontinuación de productos."
318000100001,Cantidad de cuentas con tarjetas de débito,"Cantidad de cuentas (de ahorro o corriente) que tienen al menos una tarjeta de débito asociada. Es un proxy de cuentas 'transaccionales activas'. Una suba indica más bancarización transaccional; una baja, migración a cuentas digitales sin plástico o depuración."
318000100002,Cantidad de tarjetas de débito,"Cantidad total de plásticos de débito emitidos vigentes. Suele superar a la cantidad de cuentas con débito por tarjetas adicionales. Crece estructuralmente con la bancarización."
318000500001,Cantidad de cheques librados por cuentacorrentistas,"Cantidad de cheques librados por los cuentacorrentistas durante el período. Es un proxy del uso del cheque como instrumento de pago empresarial. Tendencia secular descendente desde la masificación de transferencias inmediatas y echeq. Una suba puede señalar dilatación de pagos (capital de trabajo); una baja, mayor digitalización."
318000500002,Monto pagado por cheques librados,"Monto total pagado por los cheques librados durante el período. En moneda homogénea, una suba indica más volumen real movilizado por cheques (mayor actividad o tickets más grandes); una baja, sustitución por otros medios de pago (transferencias, e-cheq) o menor actividad."
400100001000,Cantidad de Cuentas,"Total de cuentas de depósito activas (suma de cuentas corrientes, cajas de ahorro, previsionales, de ayuda social, etc.) al cierre del período. Métrica clave de tamaño de base de clientes. Una suba indica adquisición neta de clientes; una baja, depuración de inactivas o pérdida de clientes."
400100002000,Cantidad de Empresas,"Número de personas jurídicas (clientes corporativos) registradas por la entidad. Es un proxy de la base empresarial atendida. Una suba indica más clientes corporativos o mayor profundización del segmento; una baja, atrición empresarial."
800010100010,C1 - Apalancamiento (en veces),"Apalancamiento (C1): Indica el nivel de endeudamiento de la entidad en relación a su capital propio. Se calcula como pasivos totales / patrimonio neto, mostrando cuántas veces el patrimonio cubre las deudas. Un valor más alto de apalancamiento implica mayor deuda en proporción al capital (es decir, más riesgo financiero para el banco), mientras que un apalancamiento más bajo refleja menor endeudamiento y mayor solvencia relativa del banco."
800010100020,C2 - Pérdida Potencial de Cartera en Situación 2 a 6 (%),"Pérdida Potencial de Cartera en Situación 2 a 6 (C2): Mide la porción de los préstamos con algún nivel de morosidad (cartera bajo seguimiento especial o en incumplimiento, clasificaciones 2 a 6) en relación al patrimonio neto del banco. Un aumento de este porcentaje significa que una mayor parte del capital podría verse comprometida por préstamos problemáticos (indicando mayor riesgo crediticio), mientras que una baja sugiere que la exposición del patrimonio a posibles incobrables es menor (ya sea por mejor calidad de cartera o por mayores previsiones que cubren esas pérdidas potenciales). Nota: Valores negativos pueden darse si las provisiones exceden la cartera en mora, reflejando una cobertura muy holgada."
800010100030,C3 - Pérdida Potencial de Cartera en Situación 3 a 6 (%),"Pérdida Potencial de Cartera en Situación 3 a 6 (C3): Indica la exposición de la entidad a pérdidas por cartera irregular (préstamos en incumplimiento, categorías 3 a 6) en relación al patrimonio neto. Un valor más alto señala mayor riesgo de pérdidas efectivas por créditos incobrables; un valor menor (o negativo si hay exceso de previsiones) sugiere menor exposición del capital a esas pérdidas."
800010200090,A9 - Total Cartera Irregular / Total Financiaciones (%),Cartera Irregular / Total de Financiaciones (A9): Ratio de morosidad general. Mide el peso de los créditos en situación irregular sobre el total de financiaciones. Una suba implica deterioro de la calidad crediticia; una baja indica mejora en la calidad de los activos.
800010200110,A11 - Cartera Irregular Sector Privado (%),Cartera irregular del sector privado (%): nivel de cartera irregular del sector privado (situación 3 a 6) sobre el total de financiaciones al sector privado. Fórmula: Cartera irregular (3 a 6) / Total sector privado.
800010200120,A12 - Participación Cartera Comercial Sector Privado (%),Participación cartera comercial sector privado (%): proporción de asistencia crediticia a empresas del sector privado no financiero. Fórmula: (Cartera comercial + cartera asimilable a consumo) / Total sector privado.
800010200130,A13 - Participación Cartera Consumo Sector Privado (%),Participación cartera consumo sector privado (%): proporción de asistencia crediticia a individuos. Fórmula: Cartera consumo / Total sector privado.
800010200140,A14 - Previsiones sobre Cartera Irregular Total (%),Previsiones sobre Cartera Irregular (A14): Tasa de cobertura de la cartera irregular. Compara previsiones constituidas con los créditos en situación irregular. >=100% indica cobertura plena; <<100% revela cobertura insuficiente.
800010200160,A16 - Cartera Irregular Consumo Sector Privado (%),Cartera Irregular Consumo (A16): Porcentaje de la cartera de consumo del sector privado en situación irregular. Subas reflejan más impagos de hogares; bajas indican mejor cumplimiento en ese segmento.
800010200170,A17 - Cartera Irregular Comercial Sector Privado (%),Cartera Irregular Comercial (A17): Porcentaje de la cartera comercial del sector privado en situación irregular. Subas denotan más impagos de empresas; bajas implican mejor desempeño crediticio empresarial.
800010200210,A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),Posición de Previsiones Mínimas (A21): Exceso o falta de previsiones contables respecto a las mínimas regulatorias del BCRA para la cartera del sector privado no financiero. Valor positivo = previsiones superiores al mínimo (prudencia); valor negativo = faltantes (riesgo).
800010201030,AG3 - Importancia de Cartera Vencida del Sector Privado (%),"Importancia de la Cartera Vencida (AG3): Proporción de la cartera vencida del sector privado (atrasos y morosidad) sobre el total de préstamos al sector privado. Un mayor valor señala deterioro general de la calidad crediticia; un menor valor, una cartera más saludable."
800010201290,AG29 - Efectivo y Depósito en Bancos / Activo (%),Efectivo y Depósitos en Bancos / Activo (AG29): Liquidez inmediata. Porción del activo en efectivo y saldos a la vista en otras entidades. Un porcentaje mayor implica mayor capacidad para afrontar retiros y necesidades de corto plazo.
800010300010,E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),Absorción de Gastos con Volumen de Negocio (E1): Gastos de administración sobre depósitos + préstamos. Un valor alto implica alta incidencia de costos sobre el negocio intermediado; un valor bajo indica mejor eficiencia o economías de escala.
800010300020,E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),Cobertura de Gastos Operativos con Margen (E2): Resultado operativo sobre gastos de administración. 100% es el punto de equilibrio; >100% refleja holgura para cubrir costos y generar utilidad; <100% indica que los ingresos operativos no cubren los gastos estructurales.
800010300040,E4 - Depósitos por Empleado (en millones de pesos),Depósitos por Empleado (E4): Depósitos totales por empleado (en millones). Más alto = mayor productividad de la fuerza laboral en captación/gestión de depósitos; más bajo = menor productividad relativa.
800010300050,E5 - Financiaciones por Empleado (en millones de pesos),Financiaciones por Empleado (E5): Préstamos totales por empleado (en millones). Más alto = mayor productividad comercial/gestión de crédito; más bajo = menor productividad relativa.
800010400010,R1 - Rendimiento Anual del Patrimonio ( ROE) (%),ROE – Rendimiento sobre Patrimonio (R1): Rentabilidad neta sobre el patrimonio promedio. Un ROE más alto indica mayor ganancia por peso de capital; un ROE bajo o negativo señala menor rentabilidad o pérdidas.
800010400020,R2 - Rendimiento Ordinario del Patrimonio (%),"Rendimiento Ordinario del Patrimonio (R2): Rentabilidad antes de impuesto y sin extraordinarios sobre patrimonio. Un aumento sugiere mejora en la rentabilidad básica; una baja, deterioro de la ganancia operativa sobre el capital."
800010400080,R8 - Tasa Implicita Préstamos Totales (%),"Tasa Implícita de Préstamos (R8): Tasa promedio cobrada por los préstamos (ingresos por intereses sobre saldo promedio de cartera). Una suba indica mayor rendimiento de créditos; una baja, menores tasas activas promedio."
800010400090,R9 - Tasa Implicita Depósitos Totales (%),Tasa Implícita de Depósitos (R9): Tasa promedio pagada por los depósitos totales (intereses pagados sobre saldo promedio). Una suba encarece el fondeo y presiona márgenes; una baja reduce el costo de fondeo.
800010400170,R17 - Gastos en Personal / Gastos de Administración (%),"Gastos en Personal / Gastos de Administración (R17): Proporción de los gastos administrativos destinada a personal. Un aumento sugiere mayor peso del personal en la estructura de costos; una baja, menor incidencia relativa de ese rubro."
800010401010,RG1 - Retorno sobre Activos ( ROA) (%),ROA – Retorno sobre Activos (RG1): Rentabilidad neta sobre el activo promedio. Un ROA más alto implica mejor eficiencia en el uso de activos para generar ganancias; un ROA bajo o negativo indica menor rendimiento o pérdidas relativas al activo.
800010401020,RG2 - Ingresos Financieros Netos / Activo  (%),"Margen Financiero / Activo (RG2): Margen financiero neto (intereses cobrados menos pagados, neto de impuestos asociados) sobre activo promedio. Un aumento refleja mejora del margen de intermediación; una caída señala compresión de márgenes."
800010401030,RG3 - Cargos por Incobrabilidad / Activo  (%),"Cargos por Incobrabilidad / Activo (RG3): Incidencia de los cargos por incobrables (provisiones/castigos) sobre el activo promedio. Un aumento indica mayores pérdidas crediticias relativas; una baja, menores pérdidas por incobrables en proporción al activo."
800010401040,RG4 - Ingresos Netos por Servicios / Activo  (%),"Resultados por Servicios / Activo (RG4): Aporte de comisiones netas sobre el activo promedio. Un valor mayor indica mayor diversificación de ingresos vía servicios; uno menor, menor contribución de comisiones."
800010401050,RG5 - Gastos de Administración / Activo  (%),"Gastos de Administración / Activo (RG5): Peso de los gastos operativos sobre el activo. Un aumento indica menor eficiencia (más costos por unidad de activo); una disminución, mayor eficiencia operativa."
800010401150,RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),"ROA antes de Impuestos (RG15): Rentabilidad del activo considerando el resultado antes de Impuesto a las Ganancias. Su alza indica mejor desempeño operativo de los activos; su baja, menor rendimiento bruto."
800010500010,L1 - Liq con titulos c/cotiz + posición de call y leliq (%),Liquidez total con posición de call (%): cobertura de depósitos y call tomado con activos de rápida realización. Fórmula: (Efectivo y depósitos en bancos + títulos y acciones con cotización + call otorgado) / (Depósitos (capital) + call tomado).
800010500080,L8_II - Liquidez con títulos con cotiz (%),"Liquidez con Títulos Cotizables (L8_II): Cobertura de depósitos considerando sólo efectivo, saldos bancarios y títulos con cotización (excluye instrumentos BCRA). Un valor alto indica liquidez genuina de mercado; un valor bajo sugiere dependencia de liquidez regulatoria."
800010500090,L9 - Liquidez con leliq y pases (%),"Liquidez con LELIQ, Pases y LEFIs (L9): Cobertura de depósitos con efectivo, saldos y tenencias de instrumentos del BCRA (neto de pases). Un valor mayor refleja sólida liquidez operativa; un menor valor, menor cobertura inmediata incluso considerando instrumentos del BCRA."
990000002,CALC Cuentas por empleado,"Indicador derivado (DATASETBCRA): cantidad de cuentas atendidas por cada empleado de la entidad. Fórmula: (Cuentas corrientes + Cajas de ahorro + Cajas de ahorro de ayuda social + Cuentas previsionales) / Dotación de personal. Es un proxy de productividad operativa: cuántas cuentas 'mueve' cada empleado, independiente del ticket en pesos. Una suba indica mayor eficiencia operativa o digitalización (más cuentas con la misma plantilla — típico de neobancos), o reducción de plantilla a igual base de cuentas. Una baja sugiere lo opuesto: crecimiento de plantilla más rápido que el de cuentas, o pérdida neta de cuentas. Útil para comparar bancos digitales vs. tradicionales: los digitales suelen tener ratios mucho más altos por su modelo de negocio sin sucursales. Atención: incluye cuentas previsionales y de ayuda social en el numerador, así que bancos pagadores de planes (NACION, BAPRO) tienen un ratio inflado por ese efecto."
990000003,CALC Variación cantidad hipotecarios (MoM),"Indicador derivado (DATASETBCRA): diferencia mes a mes en la cantidad de operaciones de préstamos hipotecarios vigentes en la entidad. Fórmula: DIFF(inf_adi:310000000063), es decir Cantidad_T − Cantidad_T-1 (en cantidad de operaciones, NO en porcentaje ni en pesos). Mide flujo neto: si es positivo, se otorgaron más hipotecarios de los que se cancelaron/castigaron; si es negativo, las cancelaciones (amortizaciones, cancelaciones anticipadas, pasaje a situación irregular dada de baja) superaron las nuevas altas. Útil para captar la dinámica del crédito hipotecario sin la distorsión de los stocks acumulados: un período con muchas altas brutas pero también muchas cancelaciones puede mostrar variación neta cero. En enero/febrero suele caer por baja actividad estacional; subas marcadas suelen acompañar lanzamientos de líneas hipotecarias (UVA, etc.)."
991000001,Sucursales (red propia),Casas operativas plenas: Casa Matriz, Sucursales y Agencias. Un aumento indica expansión de la red presencial; una baja sugiere cierres por reestructuración o migración a canales digitales.
991000002,Cajeros automáticos fuera de casas operativas,ATMs ubicados fuera de las sucursales (locales propios o terceros). Un aumento amplía el acceso al efectivo en zonas sin sucursal; una baja puede indicar racionalización de la red o sustitución por terminales / billeteras.
991000003,Terminales de autoservicio,Equipos que permiten operar sin cajero humano (depósitos, transferencias, consultas) dentro o fuera de sucursales. Un aumento implica más automatización del servicio al cliente; una baja, repliegue del canal.
991000004,Dependencias automatizadas,Espacios autoatendidos con varios equipos (DA): ATM + TAS + buzones, normalmente sin personal. Un aumento sugiere apuesta por la atención 24/7 en zonas estratégicas; una baja, repliegue.
